index,Country,Home,Away,Time,League,Season,Result,DT,Away_points,Home_points,Winner
319,England,Everton,Crystal Palace,30.09. 19:00,Premier League,2016/2017,1-1,2016-09-30 19:00:00,1,1,draw
320,England,Burnley,Watford,26.09. 19:00,Premier League,2016/2017,2-0,2016-09-26 19:00:00,0,2,home
321,England,West Ham,Southampton,25.09. 15:00,Premier League,2016/2017,0-3,2016-09-25 15:00:00,3,0,away
322,England,Arsenal,Chelsea,24.09. 16:30,Premier League,2016/2017,3-0,2016-09-24 16:30:00,0,3,home
323,England,Bournemouth,Everton,24.09. 14:00,Premier League,2016/2017,1-0,2016-09-24 14:00:00,0,1,home
324,England,Liverpool,Hull,24.09. 14:00,Premier League,2016/2017,5-1,2016-09-24 14:00:00,1,5,home
325,England,Middlesbrough,Tottenham,24.09. 14:00,Premier League,2016/2017,1-2,2016-09-24 14:00:00,2,1,away
326,England,Stoke,West Brom,24.09. 14:00,Premier League,2016/2017,1-1,2016-09-24 14:00:00,1,1,draw
327,England,Sunderland,Crystal Palace,24.09. 14:00,Premier League,2016/2017,2-3,2016-09-24 14:00:00,3,2,away
328,England,Swansea,Manchester City,24.09. 14:00,Premier League,2016/2017,1-3,2016-09-24 14:00:00,3,1,away
329,England,Manchester Utd,Leicester,24.09. 11:30,Premier League,2016/2017,4-1,2016-09-24 11:30:00,1,4,home
330,England,Tottenham,Sunderland,18.09. 15:30,Premier League,2016/2017,1-0,2016-09-18 15:30:00,0,1,home
331,England,Crystal Palace,Stoke,18.09. 13:15,Premier League,2016/2017,4-1,2016-09-18 13:15:00,1,4,home
332,England,Southampton,Swansea,18.09. 13:15,Premier League,2016/2017,1-0,2016-09-18 13:15:00,0,1,home
333,England,Watford,Manchester Utd,18.09. 11:00,Premier League,2016/2017,3-1,2016-09-18 11:00:00,1,3,home
334,England,Everton,Middlesbrough,17.09. 16:30,Premier League,2016/2017,3-1,2016-09-17 16:30:00,1,3,home
335,England,Hull,Arsenal,17.09. 14:00,Premier League,2016/2017,1-4,2016-09-17 14:00:00,4,1,away
336,England,Leicester,Burnley,17.09. 14:00,Premier League,2016/2017,3-0,2016-09-17 14:00:00,0,3,home
337,England,Manchester City,Bournemouth,17.09. 14:00,Premier League,2016/2017,4-0,2016-09-17 14:00:00,0,4,home
338,England,West Brom,West Ham,17.09. 14:00,Premier League,2016/2017,4-2,2016-09-17 14:00:00,2,4,home
339,England,Chelsea,Liverpool,16.09. 19:00,Premier League,2016/2017,1-2,2016-09-16 19:00:00,2,1,away
340,England,Sunderland,Everton,12.09. 19:00,Premier League,2016/2017,0-3,2016-09-12 19:00:00,3,0,away
341,England,Swansea,Chelsea,11.09. 15:00,Premier League,2016/2017,2-2,2016-09-11 15:00:00,2,2,draw
342,England,Liverpool,Leicester,10.09. 16:30,Premier League,2016/2017,4-1,2016-09-10 16:30:00,1,4,home
343,England,Arsenal,Southampton,10.09. 14:00,Premier League,2016/2017,2-1,2016-09-10 14:00:00,1,2,home
344,England,Bournemouth,West Brom,10.09. 14:00,Premier League,2016/2017,1-0,2016-09-10 14:00:00,0,1,home
345,England,Burnley,Hull,10.09. 14:00,Premier League,2016/2017,1-1,2016-09-10 14:00:00,1,1,draw
346,England,Middlesbrough,Crystal Palace,10.09. 14:00,Premier League,2016/2017,1-2,2016-09-10 14:00:00,2,1,away
347,England,Stoke,Tottenham,10.09. 14:00,Premier League,2016/2017,0-4,2016-09-10 14:00:00,4,0,away
348,England,West Ham,Watford,10.09. 14:00,Premier League,2016/2017,2-4,2016-09-10 14:00:00,4,2,away
349,England,Manchester Utd,Manchester City,10.09. 11:30,Premier League,2016/2017,1-2,2016-09-10 11:30:00,2,1,away
350,England,Manchester City,West Ham,28.08. 15:00,Premier League,2016/2017,3-1,2016-08-28 15:00:00,1,3,home
351,England,West Brom,Middlesbrough,28.08. 12:30,Premier League,2016/2017,0-0,2016-08-28 12:30:00,0,0,draw
352,England,Hull,Manchester Utd,27.08. 16:30,Premier League,2016/2017,0-1,2016-08-27 16:30:00,1,0,away
353,England,Chelsea,Burnley,27.08. 14:00,Premier League,2016/2017,3-0,2016-08-27 14:00:00,0,3,home
354,England,Crystal Palace,Bournemouth,27.08. 14:00,Premier League,2016/2017,1-1,2016-08-27 14:00:00,1,1,draw
355,England,Everton,Stoke,27.08. 14:00,Premier League,2016/2017,1-0,2016-08-27 14:00:00,0,1,home
356,England,Leicester,Swansea,27.08. 14:00,Premier League,2016/2017,2-1,2016-08-27 14:00:00,1,2,home
357,England,Southampton,Sunderland,27.08. 14:00,Premier League,2016/2017,1-1,2016-08-27 14:00:00,1,1,draw
358,England,Watford,Arsenal,27.08. 14:00,Premier League,2016/2017,1-3,2016-08-27 14:00:00,3,1,away
359,England,Tottenham,Liverpool,27.08. 11:30,Premier League,2016/2017,1-1,2016-08-27 11:30:00,1,1,draw
360,England,West Ham,Bournemouth,21.08. 15:00,Premier League,2016/2017,1-0,2016-08-21 15:00:00,0,1,home
361,England,Sunderland,Middlesbrough,21.08. 12:30,Premier League,2016/2017,1-2,2016-08-21 12:30:00,2,1,away
362,England,Leicester,Arsenal,20.08. 16:30,Premier League,2016/2017,0-0,2016-08-20 16:30:00,0,0,draw
363,England,Burnley,Liverpool,20.08. 14:00,Premier League,2016/2017,2-0,2016-08-20 14:00:00,0,2,home
364,England,Swansea,Hull,20.08. 14:00,Premier League,2016/2017,0-2,2016-08-20 14:00:00,2,0,away
365,England,Tottenham,Crystal Palace,20.08. 14:00,Premier League,2016/2017,1-0,2016-08-20 14:00:00,0,1,home
366,England,Watford,Chelsea,20.08. 14:00,Premier League,2016/2017,1-2,2016-08-20 14:00:00,2,1,away
367,England,West Brom,Everton,20.08. 14:00,Premier League,2016/2017,1-2,2016-08-20 14:00:00,2,1,away
368,England,Stoke,Manchester City,20.08. 11:30,Premier League,2016/2017,1-4,2016-08-20 11:30:00,4,1,away
369,England,Manchester Utd,Southampton,19.08. 19:00,Premier League,2016/2017,2-0,2016-08-19 19:00:00,0,2,home
370,England,Chelsea,West Ham,15.08. 19:00,Premier League,2016/2017,2-1,2016-08-15 19:00:00,1,2,home
371,England,Arsenal,Liverpool,14.08. 15:00,Premier League,2016/2017,3-4,2016-08-14 15:00:00,4,3,away
372,England,Bournemouth,Manchester Utd,14.08. 12:30,Premier League,2016/2017,1-3,2016-08-14 12:30:00,3,1,away
373,England,Manchester City,Sunderland,13.08. 16:30,Premier League,2016/2017,2-1,2016-08-13 16:30:00,1,2,home
374,England,Burnley,Swansea,13.08. 14:00,Premier League,2016/2017,0-1,2016-08-13 14:00:00,1,0,away
375,England,Crystal Palace,West Brom,13.08. 14:00,Premier League,2016/2017,0-1,2016-08-13 14:00:00,1,0,away
376,England,Everton,Tottenham,13.08. 14:00,Premier League,2016/2017,1-1,2016-08-13 14:00:00,1,1,draw
377,England,Middlesbrough,Stoke,13.08. 14:00,Premier League,2016/2017,1-1,2016-08-13 14:00:00,1,1,draw
378,England,Southampton,Watford,13.08. 14:00,Premier League,2016/2017,1-1,2016-08-13 14:00:00,1,1,draw
379,England,Hull,Leicester,13.08. 11:30,Premier League,2016/2017,2-1,2016-08-13 11:30:00,1,2,home
380,England,Burnley,Bournemouth,13.05. 14:00,Premier League,2017/2018,1-2,2018-05-13 14:00:00,2,1,away
381,England,Crystal Palace,West Brom,13.05. 14:00,Premier League,2017/2018,2-0,2018-05-13 14:00:00,0,2,home
382,England,Huddersfield,Arsenal,13.05. 14:00,Premier League,2017/2018,0-1,2018-05-13 14:00:00,1,0,away
383,England,Liverpool,Brighton,13.05. 14:00,Premier League,2017/2018,4-0,2018-05-13 14:00:00,0,4,home
384,England,Manchester Utd,Watford,13.05. 14:00,Premier League,2017/2018,1-0,2018-05-13 14:00:00,0,1,home
385,England,Newcastle,Chelsea,13.05. 14:00,Premier League,2017/2018,3-0,2018-05-13 14:00:00,0,3,home
386,England,Southampton,Manchester City,13.05. 14:00,Premier League,2017/2018,0-1,2018-05-13 14:00:00,1,0,away
